TRK_VERSION,0.5
Images,ExpID2976_P3_TL01.png,,ExpID2976_P3_TL02.png,,ExpID2976_P3_TL03.png,,ExpID2976_P3_TL04.png,,ExpID2976_P3_TL05.png,,ExpID2976_P3_TL06_grey_adj.png,,ExpID2976_P3_TL07_grey_adj.png,
Point 29,8.393e-05,6.699e-05,0.00013223,0.00010983,0.00017605,0.00010857,0.00028665,0.00017773,0.00035441,0.00019439,0.00042077,0.00016107,0.00048601,0.00013839
Point 30,6.972e-05,6.93e-05,0.00010934,0.00011396,0.00013818,0.00011578,0.00023828,0.00018914,0.00029274,0.00020748,0.00034594,0.00017892,0.00039578,0.000161
Point 31,6.839e-05,6.251e-05,0.00010787,0.00010353,0.00013601,9.821e-05,0.00023429,0.00016261,0.00028665,0.00017199,0.00033509,0.00013363,0.00038353,0.00010479
Point 32,7.007e-05,5.6e-05,0.0001106,9.401e-05,0.00014224,8.211e-05,0.0002436,0.00014021,0.00029806,0.00014385,0.00035098,0.00010045,0.00040334,6.685e-05
Point 33,7.343e-05,5.257e-05,0.00011613,8.967e-05,0.00014917,7.427e-05,0.00025109,0.00013111,0.00030723,0.00013069,0.00036071,8.561e-05,0.00041391,4.949e-05
Point 34,8.225e-05,4.389e-05,0.00012803,7.539e-05,0.00016247,5.383e-05,0.00026747,0.00010493,0.00032781,0.00010087,0.00037709,4.977e-05,0.00043141,1.029e-05
Point 35,7.343e-05,5.11e-05,0.00011662,8.701e-05,0.00014987,6.993e-05,0.00025165,0.00012551,0.00030765,0.00012383,0.00036113,7.819e-05,0.00041349,3.955e-05
Point 36,8.288e-05,4.879e-05,0.00012908,8.379e-05,0.00016667,6.622e-05,0.00027167,0.00012082,0.00033285,0.00011942,0.00038759,7.126e-05,0.00044163,3.234e-05
Point 37,7.287e-05,4.914e-05,0.00011459,8.344e-05,0.00014574,6.524e-05,0.00024654,0.00011858,0.00030016,0.00011634,0.0003479,6.902e-05,0.00040026,3.038e-05
Point 38,8.358e-05,4.641e-05,0.00012999,7.91e-05,0.00016786,5.866e-05,0.000273,0.00011116,0.00033628,0.00010752,0.00038822,5.796e-05,0.00044226,1.904e-05
