"Cell","Time","Daughter cell 1","Daughter cell 2","Division point 1","Division point 2","TimeHours1","TimeHours2","Lineage","DirectMother","OldestAncestor","TimeHours1_Birth","TimeHours2_Birth","Area_At_Division","Area_Daughter1_At_Division","Area_Daughter2_At_Division","Symmetry","DT_Used_To_Compute_Growth","karea","kmaj","kmin","theta","phi","aniso","kx","ky","Mean_Time_Division","Mean_Time_Birth","Cell_Cycle_Duration"
"Cell 65",3,136,137,184,185,47,71,34,"Cell 19","Cell 65",22,47,181.481299999999,61.839736852482,119.641563147517,0.681499822323096,24,0.0356962974945581,0.0205781292590577,0.0149920191658657,256.359426686025,-0.000861490322479574,0.271458596788297,0.0153894926863022,0.0201806557386212,59,34.5,24.5
"Cell 66",3,132,133,180,181,47,71,35,"Cell 4","Cell 66",22,47,159.8184,60.2465652779755,99.5718347220241,0.753937785361081,24,0.0276264570477151,0.0179031699782085,0.0103798296386244,-73.6231908338194,0.00109560569100637,0.420223923961029,0.0108544400369933,0.0174285595798396,59,34.5,24.5
"Cell 67",2,94,95,136,137,22,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5,NA,NA
"Cell 68",2,70,71,108,109,22,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5,NA,NA
"Cell 69",2,72,73,110,111,22,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5,NA,NA
"Cell 70",4,172,173,227,228,71,96,36,"Cell 68","Cell 70",22,47,329.348600000001,170.539662468021,158.80893753198,0.964382040986236,25,0.0215886630982519,0.0137705290974671,0.00709424647215065,-81.2545676902431,0.00133259183816667,0.484823972852608,0.00719102800658211,0.0136737475630356,83.5,34.5,49
"Cell 71",3,124,125,170,171,47,71,37,"Cell 68","Cell 71",22,47,97.0739000000005,55.38739740033,41.6865025996705,0.858861189252112,24,0.0398424113981743,0.0265748651632306,0.0129497539684752,266.237016634268,-0.000164209699456485,0.512706691494614,0.0130791836177438,0.026445435513962,59,34.5,24.5
"Cell 72",3,122,123,168,169,47,71,38,"Cell 69","Cell 72",22,47,75.6903,34.8470216300707,40.8432783699293,0.920779059670016,24,0.0399608633751447,0.0225407168996059,0.0172814097887141,-41.9602854633164,0.000650686188557835,0.233324748911768,0.0200220538890106,0.0198000727993093,59,34.5,24.5
"Cell 73",3,120,121,166,167,47,71,39,"Cell 69","Cell 73",22,47,86.3820999999998,43.6658455327716,42.7162544672282,0.98900708520002,24,0.0439903754352407,0.0266334015961935,0.0164076539267146,264.383245427837,-0.00290887634593337,0.383944485369094,0.016579429313087,0.026461626209821,59,34.5,24.5
"Cell 75",3,126,127,172,173,47,71,41,"Cell 2","Cell 75",22,47,261.27045,166.689348391965,94.5811016080351,0.724009175993956,24,0.0308546430067477,0.0215890129842439,0.00891009912767616,-88.9103465866971,0.000669637802625261,0.587285480157016,0.00891221711731953,0.0215868949946005,59,34.5,24.5
"Cell 76",2,78,79,116,117,22,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5,NA,NA
"Cell 77",3,142,143,190,191,47,71,42,"Cell 1","Cell 77",22,47,170.62535,118.256617696341,52.3687323036587,0.613844687247923,24,0.0355962976667157,0.0243703959127466,0.0106933568752495,-84.9402917445879,0.000876983219184101,0.56121529935193,0.0107367637144274,0.0243269890735687,59,34.5,24.5
"Cell 79",4,508,509,628,629,71,96,44,"Cell 76","Cell 79",22,47,246.73215,131.071205960687,115.660944039313,0.93754254594963,25,0.0166702994247346,0.0109747613787172,0.00574034068468308,-44.029334128928,-0.000891753103652125,0.476950752130698,0.00827903709762691,0.00843606496577334,83.5,34.5,49
"Cell 80",2,84,85,122,123,22,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5,NA,NA
"Cell 81",2,82,83,120,121,22,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5,NA,NA
"Cell 82",4,197,198,251,252,71,96,45,"Cell 81","Cell 82",22,47,357.259,172.203406689416,185.055593310584,0.964025576343303,25,0.0148341552081712,0.0110619268286937,0.00370693823891505,-83.9379747346378,-0.00044927697164473,0.66489217508657,0.00374698811717617,0.0110218769504325,83.5,34.5,49
"Cell 83",3,152,153,200,201,47,71,46,"Cell 81","Cell 83",22,47,155.83225,51.2672940662521,104.564955933748,0.657980540821969,24,0.0367507394137183,0.0249372881505147,0.0115396911699616,-84.394094487917,-0.00227287592819219,0.537251560782743,0.0115977873876279,0.0248791919328484,59,34.5,24.5
"Cell 84",3,144,145,192,193,47,71,47,"Cell 80","Cell 84",22,47,168.1778,93.8267557198166,74.3510442801833,0.88419570573742,24,0.0319360872047257,0.0239805299955587,0.00811812217717407,-85.0669073743386,0.00153495577853833,0.661470276983971,0.00816459843872134,0.0239340537340115,59,34.5,24.5
"Cell 85",3,154,155,202,203,47,71,48,"Cell 80","Cell 85",22,47,136.915800000001,66.2156586392875,70.7001413607133,0.967246419175684,24,0.0373139269300476,0.0245207792682977,0.0124130456547642,-81.0840358371751,-0.000383666455009975,0.493774422136221,0.012597281914715,0.0243365430083468,59,34.5,24.5
"Cell 86",2,88,89,130,131,22,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5,NA,NA
"Cell 87",2,90,91,132,133,22,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5,NA,NA
"Cell 88",4,174,175,237,238,71,96,49,"Cell 86","Cell 88",22,47,221.4996,121.848764796968,99.6508352030319,0.899783432593397,25,0.019650263073324,0.0142968581089777,0.00509553847589772,-79.240464545236,0.00240452558579774,0.64359033033293,0.00531721703464418,0.0140751795502313,83.5,34.5,49
"Cell 89",3,166,167,219,220,47,71,50,"Cell 86","Cell 89",22,47,154.6636,25.9057186392831,128.757881360717,0.334994383155223,24,0.0328483096012575,0.0223885117406111,0.0102623162741102,263.231652556116,-0.0016287381328753,0.541625794826945,0.0105333773803466,0.0221174506343747,59,34.5,24.5
"Cell 90",4,176,177,239,240,71,96,51,"Cell 87","Cell 90",22,47,247.635149999999,178.271376481103,69.3637735188963,0.560209433264192,25,0.0191013141642937,0.0142444412354806,0.00415555242915362,-85.0093781528249,0.000390436223426335,0.708268484494652,0.00418621765466287,0.0142137760099713,83.5,34.5,49
"Cell 92",2,226,227,293,294,22,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5,NA,NA
"Cell 93",2,96,97,138,139,22,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5,NA,NA
"Cell 94",4,205,206,259,260,71,96,53,"Cell 67","Cell 94",22,47,326.687900000001,213.999795942961,112.68810405704,0.689882325345011,25,0.0171318395078987,0.0105950222098347,0.007382773761261,-29.1955055805903,0.000812717554087346,0.303184682859088,0.00974165458519058,0.00823614138590516,83.5,34.5,49
"Cell 95",4,207,208,261,262,71,96,54,"Cell 67","Cell 95",22,47,204.842049999999,148.74318059139,56.0988694086091,0.547728060802059,25,0.0209924786164406,0.0123219406263258,0.00817414568353863,-58.1886942784256,-0.000472972620901936,0.336618643813738,0.00920990974365747,0.011286176566207,83.5,34.5,49
"Cell 96",3,138,139,186,187,47,71,55,"Cell 93","Cell 96",22,47,196.34545,131.60655063786,64.7388993621398,0.659438753097052,24,0.0315115919262967,0.0222343577576827,0.0100619177246733,-86.4560092711381,-0.000143238307072019,0.547460833619243,0.0100728049106885,0.0222234705716675,59,34.5,24.5
"Cell 97",2,98,99,140,141,22,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5,NA,NA
"Cell 98",3,148,149,194,195,47,71,56,"Cell 97","Cell 98",22,47,66.0275000000001,31.7792447676304,34.2482552323698,0.962606331229573,24,0.0454256656429379,0.027086297151133,0.0163605250217639,262.613468705312,-0.00194991921418741,0.395985175438439,0.0166356869843967,0.0268111351885003,59,34.5,24.5
"Cell 99",3,146,147,196,197,47,71,57,"Cell 97","Cell 99",22,47,102.459,44.7653415577238,57.6936584422763,0.873819607017904,24,0.0418029592823184,0.0270168627932145,0.0139480049159595,266.079311170836,0.000322894583692127,0.483729660889321,0.0140792261799377,0.0268856415292363,59,34.5,24.5
"Cell 100",3,150,151,198,199,47,71,58,"Cell 32","Cell 100",22,47,164.189199999999,79.7785361293082,84.4106638706911,0.971787865819537,24,0.0340913441123801,0.0243922301274939,0.00967174996277016,-84.7269925566046,-0.000745133470400865,0.603490541364294,0.00972483572263721,0.0243391443676268,59,34.5,24.5
"Cell 101",3,156,157,209,210,47,71,59,"Cell 32","Cell 101",22,47,138.8121,57.3789337683522,81.433166231648,0.826713719745643,24,0.0313204633614833,0.0212959344820396,0.00966110909138861,268.830701512274,-2.06020698313188e-05,0.546340213455459,0.0096929669594222,0.021264076614006,59,34.5,24.5
"Cell 102",3,162,163,215,216,47,71,60,"Cell 11","Cell 102",22,47,210.24675,84.964457915887,125.282292084113,0.808235636611619,24,0.0303150162023158,0.0218105160958371,0.00827215317347049,265.819094091673,-0.000721041424440389,0.620726390099069,0.00842062240081332,0.0216620468684942,59,34.5,24.5
"Cell 103",3,164,165,217,218,47,71,61,"Cell 11","Cell 103",22,47,263.4436,108.536820872976,154.906779127024,0.823985254323702,24,0.0359780437472644,0.0271448587492597,0.00824825107287716,-89.974869572238,0.00248989737893248,0.696139473442568,0.00826700038912741,0.0271261094330094,59,34.5,24.5
"Cell 104",3,158,159,211,212,47,71,62,"Cell 33","Cell 104",22,47,116.0173,61.0130159185644,55.0042840814354,0.948208311716192,24,0.0357919416107115,0.0254594518311666,0.00893556468773883,-86.8685208317149,-0.00122212971257733,0.649027608803414,0.00894408645286921,0.0254509300660362,59,34.5,24.5
"Cell 105",3,160,161,213,214,47,71,63,"Cell 33","Cell 105",22,47,121.28235,85.2258761464416,36.056473853558,0.594587322121614,24,0.0278668430461997,0.0194159831554147,0.00775836154969007,263.855484206415,-0.000360224175492998,0.600413664989897,0.00798274429022267,0.0191916004148821,59,34.5,24.5
"Cell 117",4,168,169,223,224,71,96,28,"Cell 59","Cell 59",47,71,186.3568,101.470298409793,84.8865015902071,0.911010508768204,25,0.0190202735214331,0.0136425915293549,0.00514813079766532,258.748747773702,-0.000395768768843614,0.622642751812365,0.00558328526512149,0.0132074370618988,83.5,59,24.5
"Cell 119",4,170,171,225,226,71,96,30,"Cell 61","Cell 61",47,71,145.8975,74.6301729252269,71.2673270747731,0.976950627320867,25,0.0169713975895397,0.00983441912217939,0.00660372883567373,16.1219612840025,0.000212174032072777,0.32850850125144,0.00963754198027659,0.00680060597757653,83.5,59,24.5
"Cell 135",4,203,204,257,258,71,96,10,"Cell 41","Cell 41",47,71,292.632900000001,168.826568973779,123.806331026223,0.846154557646952,25,0.0237404703234382,0.0147398313799625,0.00936016066281253,268.18195175673,0.000413516507358872,0.364975051509963,0.00938194244912398,0.0147180495936511,83.5,59,24.5
"Cell 137",4,213,214,267,268,71,96,34,"Cell 65","Cell 65",47,71,281.803900000001,114.423989352562,167.379910647439,0.81208236899888,25,0.0152748672319088,0.0104901744267157,0.00525096751486171,-3.60049427083945,-0.00172396050926535,0.499439446737047,0.0104432465474451,0.00529789539413235,83.5,59,24.5
"Cell 138",3,140,141,188,189,47,71,55,"Cell 96","Cell 96",47,71,85.9264000000003,12.1867039979028,73.7396960020975,0.28365447634028,24,0.0315115919262967,0.0222343577576827,0.0100619177246733,-86.4560092711381,-0.000143238307072019,0.547460833619243,0.0100728049106885,0.0222234705716675,59,59,0
"Cell 142",4,201,202,255,256,71,96,42,"Cell 77","Cell 77",47,71,277.874100000002,148.617034235757,129.257065764245,0.930328272870655,25,0.0143356404431428,0.011073825047317,0.00355464501267914,-76.1327546377349,-0.000625735763749117,0.679004770484399,0.00388165862536258,0.0107468114346336,83.5,59,24.5
"Cell 150",4,199,200,253,254,71,96,58,"Cell 100","Cell 100",47,71,180.810000000001,54.1109104345252,126.699089565476,0.598538913052652,25,0.018910088787261,0.0127583720237153,0.00603011399988372,-85.9003963932313,-0.00135383871396912,0.527360231487614,0.00604066397955901,0.0127478220440401,83.5,59,24.5
"Cell 159",5,459,460,570,571,96,122,62,"Cell 104","Cell 104",47,71,241.888500000001,94.0713080105375,147.817191989464,0.777807196377975,26,0.0163613142242777,0.0167388120557011,-0.00030974994307621,-78.88756739685,-0.000494190336532859,1.01850489401789,0.000133801580401564,0.0162952605322233,109,59,50
"Cell 160",5,461,462,572,573,96,122,63,"Cell 105","Cell 105",47,71,285.0526,163.743716826699,121.308883173301,0.851133321873233,26,0.0129404842665862,0.0131355193133644,-0.00100818450545115,-81.921701510076,-0.000436839798102914,1.07675254258318,-0.000840655252992715,0.012967990060906,109,59,50
"Cell 162",4,178,179,241,242,71,96,60,"Cell 102","Cell 102",47,71,175.8785,56.8382255462615,119.040274453738,0.646335118235164,25,0.0213617622963881,0.0172087398409523,0.00309339445920299,266.388780233875,-0.00294687863260566,0.82024282499515,0.0032203248132475,0.0170818094869078,83.5,59,24.5
"Cell 163",4,180,181,243,244,71,96,60,"Cell 102","Cell 102",47,71,259.337400000001,155.517865531628,103.819534468373,0.80065223502952,25,0.0207559442531941,0.0179737052087881,0.0025918394478231,264.305174167266,0.000257928919747964,0.855798266539064,0.00285564373528866,0.0177099009213226,83.5,59,24.5
"Cell 164",4,182,183,245,246,71,96,61,"Cell 103","Cell 103",47,71,257.382300000001,189.687746752975,67.694553247026,0.52602337648724,25,0.0238679537226801,0.0174155589300269,0.00562009476953165,-88.2642167626185,-0.00122059180185277,0.677294608108053,0.00562012680405466,0.0174155268955039,83.5,59,24.5
"Cell 165",4,484,485,247,605,71,96,61,"Cell 103","Cell 103",47,71,367.343199999999,226.763971784331,140.579228215668,0.765383587967156,25,0.017478046395455,0.0139072216415731,0.0040047069606708,260.913388223355,0.000931819880353559,0.712041192419091,0.00435987222887283,0.0135520563733711,83.5,59,24.5
"Cell 184",2,185,186,145,144,22,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5,NA,NA
"Cell 185",3,191,192,207,208,47,71,64,"Cell 184","Cell 185",22,47,336.4046,194.173667808699,142.230932191301,0.845594454958708,24,0.0363657894996694,0.0236370332860683,0.0123472042896201,-87.3041698834588,0.00117134246084417,0.477633079406055,0.0123497810156468,0.0236344565600416,59,34.5,24.5
"Cell 186",2,187,188,146,147,22,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5,NA,NA
"Cell 187",3,189,190,248,204,47,71,65,"Cell 186","Cell 187",22,47,174.30525,103.593543224105,70.7117067758955,0.811354870560645,24,0.0342980844349754,0.0227754894317422,0.0112352246374758,-88.243101017738,0.00161947388478355,0.506696676216441,0.0112352435285021,0.0227754705407159,59,34.5,24.5
"Cell 188",4,195,196,249,250,71,96,66,"Cell 186","Cell 188",22,47,397.02075,238.267184501419,158.753565498581,0.799724273850076,25,0.0159145336737319,0.015321546294921,0.00121851729867017,268.933027332395,-0.00209916973450785,0.920470344492964,0.00125454589735439,0.0152855176962368,83.5,34.5,49
"Cell 191",3,193,194,205,206,47,71,64,"Cell 185","Cell 185",47,71,135.60505,76.7165733579334,58.8884766420665,0.868529256721141,24,0.0363657894996694,0.0236370332860683,0.0123472042896201,-87.3041698834588,0.00117134246084417,0.477633079406055,0.0123497810156468,0.0236344565600416,59,59,0
"Cell 215",2,217,218,128,129,22,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5,NA,NA
"Cell 216",3,253,254,221,222,47,71,67,"Cell 13","Cell 216",0,22,151.743199999999,74.3675686561188,77.3756313438803,0.980176622822232,24,0.0368344543831404,0.0234675762621305,0.0122084728035149,-78.9817200047638,0.00154504044653634,0.479772744012951,0.012495538691318,0.0231805103743274,59,11,48
"Cell 217",4,261,262,235,236,71,96,68,"Cell 215","Cell 217",22,47,439.106150000001,236.045405550292,203.060744449709,0.924882261155797,25,0.0179461879775532,0.0102279240344536,0.00746213333974452,-71.2066157195506,0.000688125237952088,0.270415646947735,0.00769756350066275,0.00999249387353533,83.5,34.5,49
"Cell 218",3,251,252,174,175,47,71,69,"Cell 215","Cell 218",22,47,138.5818,70.615449298723,67.9663507012769,0.980884224353803,24,0.0395559522985406,0.0233178497839974,0.0152883023819571,-86.5232724898911,0.0014616868278977,0.344351965400809,0.0152949315850444,0.0233112205809101,59,34.5,24.5
"Cell 220",2,221,222,274,275,22,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5,NA,NA
"Cell 226",2,228,229,295,296,22,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5,NA,NA
"Cell 227",2,230,231,297,298,22,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5,NA,NA
"Cell 230",4,419,420,522,521,71,96,76,"Cell 227","Cell 230",22,47,172.3918,63.8014133126934,108.590386687306,0.740190813167372,25,0.0234990846117739,0.0135484935287468,0.0103228504006699,269.885482649461,-1.30979203204345e-05,0.238081312969061,0.0103265650661353,0.0135447788632814,83.5,34.5,49
"Cell 231",4,421,422,523,524,71,96,77,"Cell 227","Cell 231",22,47,259.1806,148.411508769086,110.769091230914,0.85476375338983,25,0.0207549385765791,0.0107094981739961,0.0102995022446154,-12.2670131270736,-0.00126203666996582,0.038283393182346,0.0106851750274992,0.0103238253911123,83.5,34.5,49
