"Cell","Time","Daughter cell 1","Daughter cell 2","Division point 1","Division point 2","TimeHours1","TimeHours2","Lineage","DirectMother","OldestAncestor","TimeHours1_Birth","TimeHours2_Birth","Area_At_Division","Area_Daughter1_At_Division","Area_Daughter2_At_Division","Symmetry","DT_Used_To_Compute_Growth","karea","kmaj","kmin","theta","phi","aniso","kx","ky","Mean_Time_Division","Mean_Time_Birth","Cell_Cycle_Duration"
"Cell 76",2,78,79,116,117,22,47,2,"Cell 1","Cell 1",22,47,29.84835,13.0052662710036,16.8430837289963,0.871422793622003,25,0.0426025026789952,0.0249585216232208,0.0167996520448884,-74.7072600004622,-0.000389331030388008,0.326897149658959,0.0172418648661282,0.0245163088019811,34.5,34.5,0
"Cell 77",3,142,143,190,191,47,71,2,"Cell 1","Cell 1",22,47,170.62535,118.256617696341,52.3687323036586,0.613844687247922,24,0.0355962976667157,0.0243703959127466,0.0106933568752495,-84.9402917445879,0.000876983219184101,0.56121529935193,0.0107367637144274,0.0243269890735687,59,34.5,24.5
"Cell 80",2,84,85,122,123,22,47,1,"Cell 0","Cell 0",22,47,13.7028500000002,7.55346938359253,6.14938061640765,0.897533084928693,25,0.0404852314701079,0.0220426755035089,0.0188655224682868,256.808827883357,-0.0011665943889344,0.144136451798528,0.0190789444624718,0.021829253509324,34.5,34.5,0
"Cell 81",2,82,83,120,121,22,47,1,"Cell 0","Cell 0",22,47,40.3858000000001,20.1615803610654,20.2242196389347,0.998448977663703,25,0.0404852314701079,0.0220426755035089,0.0188655224682868,256.808827883357,-0.0011665943889344,0.144136451798528,0.0190789444624718,0.021829253509324,34.5,34.5,0
"Cell 82",4,199,200,252,253,71,96,1,"Cell 81","Cell 0",22,47,357.259,172.203406689416,185.055593310583,0.964025576343305,25,0.0148341552081712,0.0110619268286937,0.00370693823891505,-83.9379747346378,-0.00044927697164473,0.66489217508657,0.00374698811717617,0.0110218769504325,83.5,34.5,49
"Cell 83",3,152,153,200,201,47,71,1,"Cell 81","Cell 0",22,47,155.83225,51.2672940662522,104.564955933748,0.65798054082197,24,0.0367507394137183,0.0249372881505147,0.0115396911699616,-84.394094487917,-0.00227287592819219,0.537251560782743,0.0115977873876279,0.0248791919328484,59,34.5,24.5
"Cell 84",3,144,145,192,193,47,71,1,"Cell 80","Cell 0",22,47,168.1778,93.8267557198166,74.3510442801833,0.88419570573742,24,0.0319360872047257,0.0239805299955587,0.00811812217717407,-85.0669073743386,0.00153495577853833,0.661470276983971,0.00816459843872134,0.0239340537340115,59,34.5,24.5
"Cell 85",3,154,155,202,203,47,71,1,"Cell 80","Cell 0",22,47,136.915800000001,66.2156586392875,70.7001413607131,0.967246419175686,24,0.0373139269300476,0.0245207792682977,0.0124130456547642,-81.0840358371751,-0.000383666455009975,0.493774422136221,0.012597281914715,0.0243365430083468,59,34.5,24.5
"Cell 86",2,88,89,130,131,22,47,8,"Cell 12","Cell 12",22,47,18.571,6.50068128916742,12.0703187108326,0.700089525514771,25,0.0369515000125477,0.0257604490122877,0.0106760688260136,266.951135126068,-0.000811207661215816,0.585563558270234,0.0107851893273193,0.0256513285109819,34.5,34.5,0
"Cell 87",2,90,91,132,133,22,47,8,"Cell 12","Cell 12",22,47,15.4581000000001,6.81520147265642,8.64289852734364,0.881764443580568,25,0.0369515000125477,0.0257604490122877,0.0106760688260136,266.951135126068,-0.000811207661215816,0.585563558270234,0.0107851893273193,0.0256513285109819,34.5,34.5,0
"Cell 88",4,174,175,237,238,71,96,8,"Cell 86","Cell 12",22,47,221.4996,121.848764796968,99.650835203032,0.899783432593397,25,0.019650263073324,0.0142968581089777,0.00509553847589772,-79.240464545236,0.00240452558579774,0.64359033033293,0.00531721703464418,0.0140751795502313,83.5,34.5,49
"Cell 89",3,166,167,219,220,47,71,8,"Cell 86","Cell 12",22,47,149.4108,27.0585755395681,122.352224460432,0.362203743498704,24,0.0310341329626779,0.02242543735157,0.00894185130045285,263.047821545034,-0.00146116338645965,0.60126301394845,0.00925617782991266,0.0221111108221102,59,34.5,24.5
"Cell 90",4,176,177,239,240,71,96,8,"Cell 87","Cell 12",22,47,247.635149999999,178.271376481103,69.3637735188962,0.560209433264191,25,0.0191013141642937,0.0142444412354806,0.00415555242915362,-85.0093781528249,0.000390436223426335,0.708268484494652,0.00418621765466287,0.0142137760099713,83.5,34.5,49
"Cell 92",2,228,229,294,295,22,47,30,"Cell 6","Cell 92",0,22,111.2202,60.3178264353537,50.9023735646465,0.915344039385766,25,0.0414533117435949,0.0236440100083805,0.0172339674081573,-87.7729501268274,-0.000774831227602768,0.271106406990658,0.0172342749110045,0.0236437025055333,34.5,11,23.5
"Cell 93",2,96,97,138,139,22,47,31,"Cell 6","Cell 93",0,22,123.774,67.3623272304995,56.4116727695003,0.911527021337282,25,0.0427915875746547,0.0233434368107791,0.0189373187043899,266.043844924095,-0.00179250801269699,0.188751902391452,0.0189821049719778,0.0232986505431912,34.5,11,23.5
"Cell 94",4,207,208,260,261,71,96,4,"Cell 67","Cell 4",22,47,326.687899999999,213.999795942961,112.688104057038,0.689882325345007,25,0.0171318395078987,0.0105950222098347,0.007382773761261,-29.1955055805903,0.000812717554087346,0.303184682859088,0.00974165458519058,0.00823614138590516,83.5,34.5,49
"Cell 95",4,209,210,262,263,71,96,4,"Cell 67","Cell 4",22,47,204.842050000001,148.743180591391,56.0988694086092,0.547728060802057,25,0.0209924786164406,0.0123219406263258,0.00817414568353863,-58.1886942784256,-0.000472972620901936,0.336618643813738,0.00920990974365747,0.011286176566207,83.5,34.5,49
"Cell 96",3,138,139,186,187,47,71,31,"Cell 93","Cell 93",22,47,196.34545,131.60655063786,64.7388993621397,0.659438753097053,24,0.0315115919262967,0.0222343577576827,0.0100619177246733,-86.4560092711381,-0.000143238307072019,0.547460833619243,0.0100728049106885,0.0222234705716675,59,34.5,24.5
"Cell 97",2,98,99,140,141,22,47,31,"Cell 93","Cell 93",22,47,23.4170999999998,8.82524563497379,14.591854365026,0.753743686022083,25,0.0427915875746547,0.0233434368107791,0.0189373187043899,266.043844924095,-0.00179250801269699,0.188751902391452,0.0189821049719778,0.0232986505431912,34.5,34.5,0
"Cell 98",3,148,149,194,195,47,71,31,"Cell 97","Cell 93",22,47,61.96785,31.3478683245934,30.6199816754066,0.988253801782911,24,0.045995129296817,0.0274695054215833,0.0164000799776578,262.521369118012,-0.00243777872291868,0.402971414084072,0.016689711591279,0.0271798738079621,59,34.5,24.5
"Cell 99",3,146,147,196,197,47,71,31,"Cell 97","Cell 93",22,47,102.459,46.8565080166295,55.6024919833705,0.914639182826877,24,0.0399006385849364,0.0263203230935382,0.0129943410101804,-89.9194363103664,0.000216671429547144,0.506300095025405,0.0130067637463613,0.0263079003573574,59,34.5,24.5
"Cell 100",3,150,151,198,199,47,71,24,"Cell 32","Cell 32",22,47,164.189199999999,79.7785361293081,84.4106638706913,0.971787865819535,24,0.0340913441123801,0.0243922301274939,0.00967174996277016,-84.7269925566046,-0.000745133470400865,0.603490541364294,0.00972483572263721,0.0243391443676268,59,34.5,24.5
"Cell 101",3,156,157,209,210,47,71,24,"Cell 32","Cell 32",22,47,133.92435,49.3862532294461,84.5380967705538,0.737524628336014,24,0.0297613115060987,0.0211552511344405,0.00858789100367317,-89.242615680357,0.000295390327519819,0.594053932562768,0.00859229657995877,0.0211508455581549,59,34.5,24.5
"Cell 102",3,162,163,215,216,47,71,7,"Cell 11","Cell 11",22,47,210.24675,85.4919269773795,124.75482302262,0.813253255780453,24,0.0300571443986049,0.0219923138874911,0.0078242993411372,266.080118722858,-0.000465452044442972,0.644225733537409,0.00796651715812654,0.0218500960705018,59,34.5,24.5
"Cell 103",3,164,165,217,218,47,71,7,"Cell 11","Cell 11",22,47,227.82795,101.445755150414,126.382194849586,0.890547056675129,24,0.0351740620088155,0.0269825635730212,0.00848703119673943,267.873055392397,0.00138112676460964,0.68546238485563,0.0085751149847233,0.0268944797850373,59,34.5,24.5
"Cell 104",3,158,159,211,212,47,71,25,"Cell 33","Cell 33",22,47,110.5636,56.5086979872703,54.0549020127293,0.977806475417398,24,0.0365173933014799,0.0254677124353905,0.0095972002649226,-86.6508259549461,-0.0008744707985535,0.623162061010784,0.00960835197540722,0.0254565607249059,59,34.5,24.5
"Cell 105",3,160,161,213,214,47,71,25,"Cell 33","Cell 33",22,47,121.28235,85.2258761464415,36.056473853558,0.594587322121614,24,0.0278668430461997,0.0194159831554147,0.00775836154969007,263.855484206415,-0.000360224175492998,0.600413664989897,0.00798274429022267,0.0191916004148821,59,34.5,24.5
"Cell 117",4,168,169,223,224,71,96,27,"Cell 59","Cell 35",47,71,161.146299999999,100.944202403254,60.2020975967454,0.747173191028845,25,0.0195343871442537,0.0137266953541176,0.00642629370622101,254.242129460769,0.000125000462569312,0.531839707924068,0.00709287603211798,0.0130601130282206,83.5,59,24.5
"Cell 119",4,170,171,225,226,71,96,26,"Cell 61","Cell 34",47,71,145.897499999999,74.6301729252262,71.2673270747729,0.97695062732087,25,0.0169713975895397,0.00983441912217939,0.00660372883567373,16.1219612840025,0.000212174032072777,0.32850850125144,0.00963754198027659,0.00680060597757653,83.5,59,24.5
"Cell 135",4,205,206,258,259,71,96,22,"Cell 41","Cell 30",47,71,292.632900000002,168.826568973779,123.806331026223,0.846154557646951,25,0.0237404703234382,0.0147398313799625,0.00936016066281253,268.18195175673,0.000413516507358872,0.364975051509963,0.00938194244912398,0.0147180495936511,83.5,59,24.5
"Cell 137",4,215,216,268,269,71,96,14,"Cell 65","Cell 19",47,71,259.518700000001,90.3618714862534,169.156828513748,0.696380426429795,25,0.0148524623833621,0.0105748756666542,0.00510256751366616,-5.80051858217596,-0.00150867057128901,0.517482032459626,0.0104783845055759,0.00519905867474451,83.5,59,24.5
"Cell 138",3,140,141,188,189,47,71,31,"Cell 96","Cell 93",47,71,85.9263999999998,12.1867039979027,73.7396960020971,0.28365447634028,24,0.0315115919262967,0.0222343577576827,0.0100619177246733,-86.4560092711381,-0.000143238307072019,0.547460833619243,0.0100728049106885,0.0222234705716675,59,59,0
"Cell 142",4,203,204,256,257,71,96,2,"Cell 77","Cell 1",47,71,277.874100000002,144.737041844468,133.137058155534,0.958254534377498,25,0.0131526032135438,0.0102898210222658,0.00339577491476577,-73.3648555131248,-0.000592779109752189,0.669986979616285,0.00384592248405747,0.00983967345297407,83.5,59,24.5
"Cell 150",4,201,202,254,255,71,96,24,"Cell 100","Cell 32",47,71,180.81,54.1109104345256,126.699089565475,0.598538913052658,25,0.018910088787261,0.0127583720237153,0.00603011399988372,-85.9003963932313,-0.00135383871396912,0.527360231487614,0.00604066397955901,0.0127478220440401,83.5,59,24.5
"Cell 162",4,178,179,241,242,71,96,7,"Cell 102","Cell 11",47,71,175.878499999999,56.8382255462614,119.040274453738,0.646335118235164,25,0.0213617622963881,0.0172087398409523,0.00309339445920299,266.388780233875,-0.00294687863260566,0.82024282499515,0.0032203248132475,0.0170818094869078,83.5,59,24.5
"Cell 163",4,180,181,243,244,71,96,7,"Cell 102","Cell 11",47,71,256.652200000001,149.386604031605,107.265595968396,0.835882926142036,25,0.0194497915400618,0.0177211329171024,0.00158051252602313,264.92462362372,-0.00016357380518615,0.910811993035852,0.00181384307326681,0.0174878023698587,83.5,59,24.5
"Cell 164",4,182,183,245,246,71,96,7,"Cell 103","Cell 11",47,71,235.969300000001,188.99026790289,46.9790320971104,0.398179187691876,25,0.0227353891916589,0.0177814766960976,0.00432836270092975,268.694164050757,-0.000844893032875536,0.756580244998455,0.00436862581975199,0.0177412135772753,83.5,59,24.5
"Cell 165",4,184,185,248,247,71,96,7,"Cell 103","Cell 11",47,71,293.97305,177.62174679796,116.35130320204,0.791578025278438,25,0.0187587866730642,0.014784813566756,0.00433545872945922,263.469320873301,0.000403362014516934,0.70676270553674,0.00455639338658862,0.0145638789096266,83.5,59,24.5
"Cell 186",2,187,188,145,144,22,47,32,NA,"Cell 186",NA,NA,205.345,105.456579666298,99.8884203337022,0.972883881601228,25,0.0461574999396767,0.0249513404072305,0.0212710436757353,14.3334247953081,-0.00153113623059361,0.147498958830633,0.0247788454328462,0.0214435386501197,34.5,NA,NA
"Cell 187",3,193,194,207,208,47,71,32,"Cell 186","Cell 186",22,47,334.3662,196.109511374669,138.256688625331,0.826977658778496,24,0.035952444449834,0.0233885926407492,0.0123503704251458,-87.5318412058309,0.00107076759313028,0.471948970387038,0.0123517388270751,0.0233872242388199,59,34.5,24.5
"Cell 188",2,189,190,146,147,22,47,32,"Cell 186","Cell 186",22,47,25.5444,14.0586086330936,11.4857913669065,0.899280575539568,25,0.0461574999396767,0.0249513404072305,0.0212710436757353,14.3334247953081,-0.00153113623059361,0.147498958830633,0.0247788454328462,0.0214435386501197,34.5,34.5,0
"Cell 189",3,191,192,249,204,47,71,32,"Cell 188","Cell 186",22,47,174.30525,103.593543224105,70.7117067758956,0.811354870560645,24,0.0342980844349754,0.0227754894317422,0.0112352246374758,-88.243101017738,0.00161947388478355,0.506696676216441,0.0112352435285021,0.0227754705407159,59,34.5,24.5
"Cell 190",4,197,198,250,251,71,96,32,"Cell 188","Cell 186",22,47,397.02075,238.267184501419,158.753565498581,0.799724273850075,25,0.0159145336737319,0.015321546294921,0.00121851729867017,268.933027332395,-0.00209916973450785,0.920470344492964,0.00125454589735439,0.0152855176962368,83.5,34.5,49
"Cell 193",3,195,196,205,206,47,71,32,"Cell 187","Cell 186",47,71,135.60505,76.7165733579334,58.8884766420667,0.868529256721142,24,0.035952444449834,0.0233885926407492,0.0123503704251458,-87.5318412058309,0.00107076759313028,0.471948970387038,0.0123517388270751,0.0233872242388199,59,59,0
