"Cell","Time","Daughter cell 1","Daughter cell 2","Division point 1","Division point 2","TimeHours1","TimeHours2","Lineage","DirectMother","OldestAncestor","TimeHours1_Birth","TimeHours2_Birth","Area_At_Division","Area_Daughter1_At_Division","Area_Daughter2_At_Division","Symmetry","DT_Used_To_Compute_Growth","karea","kmaj","kmin","theta","phi","aniso","kx","ky","Mean_Time_Division","Mean_Time_Birth","Cell_Cycle_Duration"
"Cell 0",2,80,81,118,119,22,47,1,NA,"Cell 0",NA,NA,223.98145,110.884356846797,113.097093153204,0.990120894804427,25,0.0404852314701079,0.0220426755035089,0.0188655224682868,256.808827883357,-0.0011665943889344,0.144136451798528,0.0190789444624718,0.021829253509324,34.5,NA,NA
"Cell 1",2,76,77,114,115,22,47,2,NA,"Cell 1",NA,NA,127.7234,68.9077691568147,58.8156308431855,0.920984421698536,25,0.0426025026789952,0.0249585216232208,0.0167996520448884,-74.7072600004622,-0.000389331030388008,0.326897149658959,0.0172418648661282,0.0245163088019811,34.5,NA,NA
"Cell 2",2,74,75,112,113,22,47,3,NA,"Cell 2",NA,NA,157.42965,61.2910522906472,96.138597709353,0.778646872309596,25,0.0434687812670876,0.0226683228952616,0.0204395133330783,239.645667948619,-0.00267202475166692,0.0983226492970589,0.0210718573168448,0.0220359789114951,34.5,NA,NA
"Cell 3",1,30,31,68,69,0,22,4,NA,"Cell 3",NA,NA,126.33915,79.8075457381889,46.531604261811,0.736614173228347,22,0.0330432621045309,0.0192447115461625,0.0137602471078767,16.0573334795578,0.000973491491583827,0.284985536163021,0.0189134438300721,0.0140915148239671,11,NA,NA
"Cell 4",2,66,67,104,105,22,47,5,NA,"Cell 4",NA,NA,131.98885,54.836264103789,77.152585896211,0.830922674207541,25,0.0427874576729293,0.0218731089535455,0.0201762324514111,227.32790392948,-0.00068930207912511,0.0775782037084078,0.0210099315667026,0.021039409838254,34.5,NA,NA
"Cell 5",1,32,33,70,71,0,22,6,NA,"Cell 5",NA,NA,131.8443,67.9973673139001,63.8469326860999,0.968520181548992,22,0.0193670932773464,0.0154564395022077,0.00250827665588366,-77.2835868540438,-0.00144273121212553,0.837719634232361,0.00297010841234938,0.014994607745742,11,NA,NA
"Cell 6",1,92,93,134,135,0,22,7,NA,"Cell 6",NA,NA,116.0075,43.7317144337018,72.2757855662984,0.753946329913182,22,0.0244530984121177,0.018880469855204,0.00519023053691998,-58.346200345724,-0.00284700772425509,0.725100562818388,0.00857635219254205,0.0154943481995819,11,NA,NA
"Cell 7",1,26,27,66,67,0,22,8,NA,"Cell 7",NA,NA,105.09765,51.7679781775086,53.3296718224914,0.985140546482411,22,0.0393214671528653,0.0207395391493985,0.0172252639150124,-6.8578607391023,0.00145036397527815,0.169448087012486,0.0206593518511147,0.0173054512132962,11,NA,NA
"Cell 8",1,28,29,64,65,0,22,9,NA,"Cell 8",NA,NA,120.6919,50.4519391867522,70.2399608132479,0.836045156083418,22,0.0323473009398838,0.0169381300920223,0.0149809122112588,-82.3892068615467,-0.00142961358920297,0.115551000619919,0.0150007669349952,0.0169182753682859,11,NA,NA
"Cell 9",2,48,49,86,87,22,47,10,NA,"Cell 9",NA,NA,105.8155,65.2533117785913,40.562188221409,0.766658726205686,25,0.0304008012886384,0.0205166831264588,0.010829370445059,241.787688817549,0.00183974428371961,0.472167582922153,0.013257426730614,0.0180886268409039,34.5,NA,NA
"Cell 11",2,102,103,148,149,22,47,12,NA,"Cell 11",NA,NA,158.63435,74.2143189823421,84.4200310176578,0.935665182003042,25,0.0416529892476443,0.0318231097834578,0.00974701045854084,-89.240338567073,0.00531598454086735,0.693712823012429,0.0097547165762731,0.0318154036657256,34.5,NA,NA
"Cell 12",2,86,87,127,126,22,47,13,NA,"Cell 12",NA,NA,176.3363,91.2646788078704,85.0716211921296,0.96487928114778,25,0.0369515000125477,0.0257604490122877,0.0106760688260136,266.951135126068,-0.000811207661215816,0.585563558270234,0.0107851893273193,0.0256513285109819,34.5,NA,NA
"Cell 13",1,217,218,124,125,0,22,14,NA,"Cell 13",NA,NA,67.7278000000001,50.7153982066522,17.0124017933479,0.502375739160223,22,0.0403330273441804,0.0221238303444569,0.0175021433811819,-12.777771637696,-0.000447504848635162,0.208900849957609,0.021829859155868,0.0177961145697709,11,NA,NA
"Cell 15",3,226,227,283,284,47,71,16,NA,"Cell 15",NA,NA,204.522380974114,78.0485952052385,126.473785768875,0.763227915042873,24,0.0135140345263463,0.00904415551416816,0.00488358783586278,-89.6200263381919,0.000389911131480547,0.460028321249854,0.00488625278825121,0.00904149056177973,59,NA,NA
"Cell 16",2,44,45,82,83,22,47,17,NA,"Cell 16",NA,NA,137.0628,67.757470312803,69.3053296871973,0.988706933067219,25,0.0364879888402532,0.0193053729363943,0.0171069235689084,16.9443521791363,-0.00159135367965991,0.113877591214073,0.0191559072882674,0.0172563892170353,34.5,NA,NA
"Cell 18",2,62,63,100,101,22,47,19,NA,"Cell 18",NA,NA,151.5031,61.7930845989117,89.7100154010884,0.81573360015619,25,0.0389905131338969,0.0209596020528374,0.0179278431067958,-72.1832577862364,0.00190227410397718,0.144647734169703,0.0181578065066649,0.0207296386529684,34.5,NA,NA
"Cell 19",2,64,65,102,103,22,47,20,NA,"Cell 19",NA,NA,88.2759499999999,39.7226715494971,48.5532784505028,0.899965880842906,25,0.0491440442832389,0.0269602241288952,0.0201661622437218,267.73881464148,0.000101130340612552,0.252003167803482,0.0202007472512988,0.0269256391213182,34.5,NA,NA
"Cell 20",1,24,25,62,63,0,22,21,NA,"Cell 20",NA,NA,96.2115000000001,48.2907741544432,47.920725845557,0.996153803766845,22,0.0380693811403202,0.0216723406400963,0.0160934591078289,-73.7085763428141,0.004760097896083,0.257419428058723,0.0164413715141884,0.0213244282337368,11,NA,NA
"Cell 21",1,36,37,75,74,0,22,22,NA,"Cell 21",NA,NA,59.87065,33.0239176837006,26.8467323162994,0.896824481320961,22,0.0413438734438,0.0203100666841401,0.019891403728448,36.5425345000121,-0.00198005471848484,0.0206135687392415,0.0201743024034854,0.0200271680091027,11,NA,NA
"Cell 22",1,34,35,72,73,0,22,23,NA,"Cell 22",NA,NA,74.1713,49.8640705418112,24.3072294581887,0.655434904287474,22,0.0390411167299624,0.0229306626637958,0.0159756283049268,15.3598885111999,0.0031159556594462,0.303307168259466,0.0225499985123667,0.0163562924563559,11,NA,NA
"Cell 23",2,68,69,106,107,22,47,24,NA,"Cell 23",NA,NA,120.6821,72.4243960377287,48.2577039622713,0.799749158529248,25,0.0461815634338525,0.024166796343421,0.0220160359944604,-19.9646162089675,0.00103998282276415,0.0889965024075717,0.023870310268268,0.0223125220696134,34.5,NA,NA
"Cell 26",2,50,51,88,89,22,47,8,"Cell 7","Cell 7",0,22,122.95815,72.3944492594619,50.5637007405379,0.822453830682033,25,0.0349752883482276,0.0207967585066336,0.0139931525318277,239.99264347747,0.00314213439710975,0.327147424087063,0.0158863906945172,0.0189035203439441,34.5,11,23.5
"Cell 27",2,54,55,90,91,22,47,8,"Cell 7","Cell 7",0,22,126.66745,45.4086574654955,81.2587925345046,0.716974368166336,25,0.0396963300017805,0.0234665993737691,0.016202798509099,-81.2977652103851,-0.000559816201334927,0.309537856294149,0.0163067917599494,0.0233626061229187,34.5,11,23.5
"Cell 28",2,46,47,84,85,22,47,9,"Cell 8","Cell 8",0,22,102.7873,61.6823045937741,41.1049954062261,0.799806890661123,25,0.0377151173812807,0.0216113296046231,0.0157434078091403,258.450093087239,0.00187435024362417,0.271520628431278,0.0160576391115251,0.0212970983022384,34.5,11,23.5
"Cell 29",2,52,53,92,93,22,47,9,"Cell 8","Cell 8",0,22,143.10205,78.0140749520189,65.087975047981,0.909672154214158,25,0.0444994420465359,0.0229303057437079,0.0212874102407371,-45.8509189494583,-0.00106914797778945,0.0716473439706158,0.0220320917806477,0.0221856242037973,34.5,11,23.5
"Cell 30",2,40,41,78,79,22,47,4,"Cell 3","Cell 3",0,22,165.10305,71.5077839007128,93.5952660992872,0.866220023200211,25,0.0367681549851582,0.0217664457709564,0.0146242812993915,-87.1445566577123,-0.000835183451305413,0.328127271981854,0.0146265678850672,0.0217641591852807,34.5,11,23.5
"Cell 31",2,38,39,76,77,22,47,4,"Cell 3","Cell 3",0,22,96.2629500000001,61.0205693593877,35.2423806406123,0.732210692496174,25,0.0451955799951065,0.0249277367688746,0.0190948109801461,14.4835472496495,-0.000368894672567668,0.2339933963043,0.0246478516781791,0.0193746960708415,34.5,11,23.5
"Cell 32",2,100,101,142,143,22,47,6,"Cell 5","Cell 5",0,22,104.1201,57.3452495631949,46.7748504368051,0.89847878434241,25,0.0420771765456108,0.0259691823359691,0.0151996548119144,264.098931755305,-0.00205456426527456,0.414704143731862,0.0153945566978474,0.0257742804500361,34.5,11,23.5
"Cell 33",2,104,105,150,151,22,47,6,"Cell 5","Cell 5",0,22,97.7648000000001,46.6224587545308,51.1423412454693,0.953767792795173,25,0.0345403419375992,0.024052832047898,0.00998195760400074,263.549944123951,-0.00422718324464212,0.584998656951373,0.0102737932495777,0.0237609964023211,34.5,11,23.5
"Cell 34",2,60,61,98,99,22,47,23,"Cell 22","Cell 22",0,22,117.7078,59.818896114683,57.888903885317,0.983603531547051,25,0.0398253021674714,0.020998657914955,0.0185115468050341,235.379492896765,-0.00056063974407391,0.118441431828347,0.0193894764460649,0.0201207282739241,34.5,11,23.5
"Cell 35",2,58,59,96,97,22,47,23,"Cell 22","Cell 22",0,22,57.379,31.0950459968732,26.2839540031268,0.916152390356291,25,0.0569370894559572,0.0329807175845224,0.0223412737686514,-6.97410578668066,1.37716782874961e-05,0.322595886175137,0.0327314628261595,0.0225905285270143,34.5,11,23.5
"Cell 36",2,56,57,94,95,22,47,22,"Cell 21","Cell 21",0,22,82.0064000000002,50.2089496500853,31.7974503499149,0.775487043692074,25,0.0417965386682809,0.0236273378441649,0.0189249058448391,5.6749805999033,-0.00240559957687291,0.199025045916761,0.0236061948167422,0.0189460488722618,34.5,11,23.5
"Cell 37",3,106,107,152,153,47,71,22,"Cell 21","Cell 21",0,22,223.4449,105.614404861239,117.83049513876,0.945328399629971,24,0.0266659803011043,0.0180348826249924,0.00811708963690273,-84.3511004235568,-0.000271279938652683,0.549922790977623,0.00816107987960448,0.0179908923822906,59,11,48
